"Priority Mail International Gift Card Flat Rate Envelope","Mail Prioritas Internasional Kartu Hadiah Tarif Datar Amplop"
"Priority Mail International Large Flat Rate Box","Mail Prioritas Internasional Besar Tarif Datar Box"
"Priority Mail International Large Video Flat Rate priced box","Mail Prioritas Internasional Besar Video Harga Tarif Datar box"
"Priority Mail International Legal Flat Rate Envelope","Mail Prioritas Internasional Tarif Datar Legal Amplop"
"Priority Mail International Medium Flat Rate Box","Mail Prioritas Internasional Tarif Datar Medium Box"
"Priority Mail International Padded Flat Rate Envelope","Mail Prioritas Internasional Tarif Datar Tambahan Amplop"
"Priority Mail International Small Flat Rate Box","Mail Prioritas Internasional Tarif Datar Kecil Box"
"Priority Mail International Small Flat Rate Envelope","Mail Prioritas Internasional Tarif Datar Kecil Amplop"
"Priority Mail International Window Flat Rate Envelope","Mail Prioritas Internasional Jendela Tarif Datar Amplop"
"Priority Mail Large Flat Rate Box","Mail Prioritas Tarif Datar Besar Box"
"Priority Mail Large Flat Rate Box Hold For Pickup","Mail Proritas Tarif Datar Besar Box Tunggu Pickup"
"Priority Mail Legal Flat Rate Envelope","Mail Prioritas Tarif Datar Legal Amplop"
"Priority Mail Legal Flat Rate Envelope Hold For Pickup","Mail Prioritas Tarif Datar Legal Amplop Tunggu Pickup"
"Priority Mail Medium Flat Rate Box","Mail Prioritas Tarif Datar Medium Box"
"Priority Mail Medium Flat Rate Box Hold For Pickup","Mail Prioritas Tarif Datar Medium Box Tunggu Pickup"
"Priority Mail Padded Flat Rate Envelope","Mail Prioritas Tarif Datar Tambahan Amplop"
"Priority Mail Padded Flat Rate Envelope Hold For Pickup","Mail Prioritas Tarif Datar Tambahan Amplop Tunggu Pickup"
"Priority Mail Regional Rate Box A","Mail Prioritas Tarif Daerah Box A"
"Priority Mail Regional Rate Box A Hold For Pickup","Mail Prioritas Tarif Daerah Box A Tunggu Pickup"
"Priority Mail Regional Rate Box B","Mail Prioritas Tarif Daerah Box B"
"Priority Mail Regional Rate Box B Hold For Pickup","Mail Prioritas Tarif Daerah Box B Tunggu Pickup"
"Priority Mail Regional Rate Box C","Mail Prioritas Tarif Daerah Box C"
"Priority Mail Regional Rate Box C Hold For Pickup","Mail Prioritas Tarif Daerah Box C Tunggu Pickup"
"Priority Mail Small Flat Rate Box","Mail Prioritas Tarif Datar Kecil Box"
